Sample ,fer,plant,tpt,loc,cond
Oliver1,nofert,noplant,tpt0,rhizosphere,ns
Oliver2,nofert,noplant,tpt0,rhizosphere,ns
Oliver3,nofert,noplant,tpt0,rhizosphere,ns
Oliver4,nofert,noplant,tpt1,rhizosphere,ns
Oliver7,organic,noplant,tpt1,rhizosphere,ns
Oliver8,organic,noplant,tpt1,rhizosphere,ns
Oliver9,organic,noplant,tpt1,rhizosphere,ns
Oliver10,struvite,noplant,tpt1,rhizosphere,ns
Oliver11,struvite,noplant,tpt1,rhizosphere,ns
Oliver12,struvite,noplant,tpt1,rhizosphere,ns
Oliver22,nofert,noplant,tpt2,rhizosphere,ns
Oliver25,organic,noplant,tpt2,rhizosphere,ns
Oliver27,organic,noplant,tpt2,rhizosphere,ns
Oliver28,struvite,noplant,tpt2,rhizosphere,ns
Oliver30,struvite,noplant,tpt2,rhizosphere,ns
Oliver31,nofert,lupine,tpt2,rhizosphere,ns
Oliver37,organic,lupine,tpt2,rhizosphere,ns
Oliver38,organic,lupine,tpt2,rhizosphere,ns
Oliver39,organic,lupine,tpt2,rhizosphere,ns
Oliver44,struvite,lupine,tpt2,rhizosphere,ns
Oliver45,struvite,lupine,tpt2,rhizosphere,ns
Oliver81,nofert,noplant,tpt3,rhizosphere,ns
Oliver82,nofert,noplant,tpt3,rhizosphere,ns
Oliver83,nofert,noplant,tpt3,rhizosphere,ns
Oliver84,organic,noplant,tpt3,rhizosphere,ns
Oliver85,organic,noplant,tpt3,rhizosphere,ns
Oliver86,organic,noplant,tpt3,rhizosphere,ns
Oliver87,struvite,noplant,tpt3,rhizosphere,ns
Oliver88,struvite,noplant,tpt3,rhizosphere,ns
Oliver89,struvite,noplant,tpt3,rhizosphere,ns
Oliver90,nofert,noplant,tpt3,rhizosphere,ns
Oliver91,nofert,noplant,tpt3,rhizosphere,ns
Oliver92,organic,noplant,tpt3,rhizosphere,ns
Oliver93,organic,noplant,tpt3,rhizosphere,ns
Oliver94,organic,noplant,tpt3,rhizosphere,ns
Oliver95,struvite,noplant,tpt3,rhizosphere,ns
Oliver96,struvite,noplant,tpt3,rhizosphere,ns
Oliver97,struvite,noplant,tpt3,rhizosphere,ns
Oliver98,nofert,lupine,tpt3,rhizosphere,ns
Oliver99,nofert,lupine,tpt3,rhizosphere,ns
Oliver100,nofert,lupine,tpt3,rhizosphere,ns
Oliver101,nofert,lupine,tpt3,rhizosphere,ns
Oliver102,nofert,lupine,tpt3,rhizosphere,ns
Oliver103,nofert,lupine,tpt3,rhizosphere,
Oliver110,organic,lupine,tpt3,rhizosphere,
Oliver111,organic,lupine,tpt3,rhizosphere,
Oliver112,organic,lupine,tpt3,rhizosphere,
Oliver113,organic,lupine,tpt3,rhizosphere,
Oliver114,organic,lupine,tpt3,rhizosphere,
Oliver115,organic,lupine,tpt3,rhizosphere,
Oliver122,struvite,lupine,tpt3,rhizosphere,
Oliver123,struvite,lupine,tpt3,rhizosphere,
Oliver124,struvite,lupine,tpt3,rhizosphere,
Oliver125,struvite,lupine,tpt3,rhizosphere,
Oliver126,struvite,lupine,tpt3,rhizosphere,
Oliver127,struvite,lupine,tpt3,rhizosphere,
Oliver35,nofert,lupine,tpt2,rhizosheat,
Oliver36,nofert,lupine,tpt2,rhizosheat,
Oliver40,organic,lupine,tpt2,rhizosheat,
Oliver41,organic,lupine,tpt2,rhizosheat,
Oliver42,organic,lupine,tpt2,rhizosheat,
Oliver46,struvite,lupine,tpt2,rhizosheat,
Oliver47,struvite,lupine,tpt2,rhizosheat,
Oliver48,struvite,lupine,tpt2,rhizosheat,
Oliver104,nofert,lupine,tpt3,rhizosheat,
Oliver105,nofert,lupine,tpt3,rhizosheat,
Oliver106,nofert,lupine,tpt3,rhizosheat,
Oliver107,nofert,lupine,tpt3,rhizosheat,
Oliver108,nofert,lupine,tpt3,rhizosheat,
Oliver109,nofert,lupine,tpt3,rhizosheat,
Oliver116,organic,lupine,tpt3,rhizosheat,
Oliver117,organic,lupine,tpt3,rhizosheat,
Oliver118,organic,lupine,tpt3,rhizosheat,
Oliver119,organic,lupine,tpt3,rhizosheat,
Oliver120,organic,lupine,tpt3,rhizosheat,
Oliver121,organic,lupine,tpt3,rhizosheat,
Oliver128,struvite,lupine,tpt3,rhizosheat,
Oliver129,struvite,lupine,tpt3,rhizosheat,
Oliver130,struvite,lupine,tpt3,rhizosheat,
Oliver131,struvite,lupine,tpt3,rhizosheat,
Oliver132,struvite,lupine,tpt3,rhizosheat,
Oliver133,struvite,lupine,tpt3,rhizosheat,
